지역별,산업별(10차)대분류,전체,소상공인,소기업,중기업,중소기업,대기업
전국,"A. 농업, 임업 및 어업(01~03)",1.283431582373835,1.3028242476475986,1.2531233656807483,0.2120652418227838,1.2841378339201863,0.3604629102637071
전국,B. 광업(05~08),0.0,0.0366505182920392,0.0586902202335987,0.0889305852805222,0.0385283449724066,0.0
전국,C. 제조업(10~34),8.398994677173642,7.823993065430102,17.338601894357602,13.342519569615058,8.381366740050535,31.43616012141909
전국,"D. 전기, 가스, 증기 및 공기조절 공급업(35)",1.3680159844356576,1.4579330908386434,0.0633389505491312,0.0566810323765966,1.3674368706389768,2.1248339973439574
전국,"E. 수도, 하수·폐기물 처리, 원료재생업(36~39)",0.1645559007013063,0.1115194084752266,0.7780812365622639,1.4180030685938216,0.1642317884976776,0.5881236956934168
전국,F. 건설업(41~42),7.0297601899471776,7.013210951752333,7.689581033180312,5.849873444936331,7.029724458458271,7.076456080440144
전국,G. 도매 및 소매업(45~47),24.10649656367707,24.069083044703387,23.104480213841597,30.267671289102584,24.112966152689253,15.651678998292546
전국,H. 운수 및 창고업(49~52),8.909402286665546,9.407059501441184,1.7981869951769425,1.759066522032308,8.913272753535455,3.851261620185923
전국,I. 숙박 및 음식점업(55~56),11.826280378072404,11.665932931880022,15.190597942936837,11.109482345812934,11.833776467368857,2.029975336748245
전국,J. 정보통신업(58~63),1.823997135938202,1.678783122071529,4.311116276367017,2.387444174069405,1.820834485626997,5.957123885410738
전국,K. 금융 및 보험업(64~66),0.7852815307180202,0.7859913988482952,0.6935324539485154,0.675286092624625,0.7797271804118062,8.044014418516412
전국,L. 부동산업(68),16.932082685278427,17.90612996605985,2.2587018420593874,5.158951205449197,16.934949665635227,13.18535382280402
전국,"M. 전문, 과학 및 기술 서비스업(70~73)",3.225289851351363,2.922246259194452,8.621942007089315,4.124033734986856,3.2248834459496245,3.7564029595902095
전국,"N. 사업시설관리, 사업지원 및 임대 서비스업(74~76)",2.1834409532405354,2.0288491271557207,4.605439014469173,3.681335326942058,2.182135710070575,3.889205084424208
전국,P. 교육 서비스업(85),3.241928216840115,3.344014400657691,1.7057934801557324,2.1186978998700248,3.243958896324056,0.5881236956934168
전국,Q. 보건업 및 사회복지 서비스업(86~87),0.0,0.6421679969102417,6.689522924051368,13.009274189607826,1.1280356133141998,0.0
전국,"R. 예술, 스포츠 및 여가관련 서비스업(90~91)",2.107647178455246,2.1801081912123204,1.221453890406183,0.5804919522706617,2.108446983966605,1.0624169986719787
전국,S. 수리 및 기타 개인 서비스업(94~96),5.447592340027266,5.6235027774293656,2.6178162589342784,4.160192324606409,5.451586608569291,0.2276607854297097
서울,"A. 농업, 임업 및 어업(01~03)",0.0,0.038265737888526,0.0517392821475411,0.0246631932669482,0.038725937018469,0.0
서울,B. 광업(05~08),0.0062292513455521,0.005519096810845,0.0084226738379718,0.0308289915836852,0.0062395555266184,0.0
서울,C. 제조업(10~34),5.599284448606307,5.637499834427096,4.992239107677869,4.7538305022042735,5.5816893460945805,16.236162361623617
서울,"D. 전기, 가스, 증기 및 공기조절 공급업(35)",0.0801000471933498,0.0833751558224999,0.0192518259153641,0.0308289915836852,0.0786048353842481,0.984009840098401
서울,"E. 수도, 하수·폐기물 처리, 원료재생업(36~39)",0.0,0.0242840259677184,0.208160367709875,0.2928754200450103,0.0405571109230201,0.0
서울,F. 건설업(41~42),4.777158689500936,4.766659945633217,4.841834217714086,5.006628233190493,4.776176291859279,5.3710537105371055
서울,G. 도매 및 소매업(45~47),25.409387075522226,25.24677721540225,25.280053905112567,32.817461540833,25.415201727543025,21.894218942189426
서울,H. 운수 및 창고업(49~52),7.521753290500459,8.045444979020074,1.2549784018578012,1.8959829823966456,7.527413351563688,4.100041000410004
서울,I. 숙박 및 음식점업(55~56),9.024424759107402,8.564240079239513,15.566304491691636,12.029472515954003,9.035147687566464,2.5420254202542023
서울,J. 정보통신업(58~63),4.224109504821914,3.752029187927454,11.280366747283688,5.533803989271511,4.215565792043753,9.38909389093891
서울,K. 금융 및 보험업(64~66),1.9515838210092336,1.9474317066960627,1.7362740497419051,1.7603354194284306,1.9314137205113175,14.145141451414514
서울,L. 부동산업(68),22.15243655135104,23.63843881676452,4.586747524335511,5.691031846348306,22.169751177377,11.685116851168512
서울,"M. 전문, 과학 및 기술 서비스업(70~73)",5.906413623643529,5.349623744773415,14.186189221383966,8.046366803341863,5.907027909803156,5.535055350553505
서울,"N. 사업시설관리, 사업지원 및 임대 서비스업(74~76)",2.364948815189623,2.1458248400565743,4.85747632627032,4.8925609643308565,2.359094559107581,5.904059040590406
서울,P. 교육 서비스업(85),2.99850430258453,3.07700685398236,1.6941606805520462,3.190800628911429,3.0015653145821126,1.1480114801148011
서울,Q. 보건업 및 사회복지 서비스업(86~87),1.327236792125143,0.8135884578760456,6.190665270909288,10.475691340136263,1.3292287909369098,0.1230012300123001
서울,"R. 예술, 스포츠 및 여가관련 서비스업(90~91)",2.1835557243772947,2.279681334708937,1.3031079666462115,0.5302586552393871,2.18615035701109,0.6150061500615006
서울,S. 수리 및 기타 개인 서비스업(94~96),4.393450348465675,4.584308987002895,1.94202793921236,2.996577981934211,4.400446535147688,0.1640016400164001
부산,"A. 농업, 임업 및 어업(01~03)",0.2879720644422525,0.2688770571151985,0.6434393022258234,0.3653524128482265,0.2881452070334657,0.0
부산,B. 광업(05~08),0.0045349931408228,0.0041142303969022,0.0,0.0,0.0045377197958026,0.0
